# input | exact output: flags, degree, periodic, complete homogeneous controls and knots
d1_r0_s3_full_roundtrip S 1 4 4 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 I 0.25 1 R 0.25 0 | d1_r0_s3_full_roundtrip R 2 1 1 1 0 4 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2
d1_r0_s3_remove_existing S 1 4 4 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 R 1 0 | d1_r0_s3_remove_existing R 1 0 1 0 4 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2
d1_r1_s1_identity B 1 2 2 0 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_identity R 0 1 0 2 2 0 1 -3/2 -5/2 -3 1/2 -2 -4 1 1 0 2 1 2
d1_r1_s1_insert B 1 2 2 1 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 I 0.25 1 | d1_r1_s1_insert R 1 1 1 0 3 3 0 1 -3/2 -5/2 -3 1/2 -13/8 -23/8 -2 5/8 -2 -4 1 1 0 2 1/4 1 1 2
d1_r1_s1_sequence B 1 2 2 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 I 0.75 1 I 0.25 1 I 0.75 1 I 0.25 1 | d1_r1_s1_sequence R 4 1 1 1 1 1 0 4 4 0 1 -3/2 -5/2 -3 1/2 -13/8 -23/8 -2 5/8 -15/8 -29/8 0 7/8 -2 -4 1 1 0 2 1/4 1 3/4 1 1 2
d1_r1_s1_roundtrip B 1 2 2 2 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 I 0.25 1 R 0.25 0 | d1_r1_s1_roundtrip R 2 1 1 1 0 2 2 0 1 -3/2 -5/2 -3 1/2 -2 -4 1 1 0 2 1 2
d1_r1_s1_full_roundtrip B 1 2 2 2 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 I 0.25 1 R 0.25 0 | d1_r1_s1_full_roundtrip R 2 1 1 1 0 2 2 0 1 -3/2 -5/2 -3 1/2 -2 -4 1 1 0 2 1 2
d1_r1_s3_identity S 1 4 4 0 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 0 2 1 1 2 1 3 2 | d1_r1_s3_identity R 0 1 0 4 4 0 3 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 0 2 1 1 2 1 3 2
d1_r1_s3_insert S 1 4 4 1 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 0 2 1 1 2 1 3 2 I 0.25 1 | d1_r1_s3_insert R 1 1 1 0 5 5 0 3 -3/2 -5/2 -3 1/2 -13/8 -23/8 -2 5/8 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 0 2 1/4 1 1 1 2 1 3 2
d1_r1_s3_sequence S 1 4 4 4 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 0 2 1 1 2 1 3 2 I 0.75 1 I 0.25 1 I 0.75 1 I 0.25 1 | d1_r1_s3_sequence R 4 1 1 1 1 1 0 6 6 0 3 -3/2 -5/2 -3 1/2 -13/8 -23/8 -2 5/8 -15/8 -29/8 0 7/8 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 0 2 1/4 1 3/4 1 1 1 2 1 3 2
d1_r1_s3_roundtrip S 1 4 4 2 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 0 2 1 1 2 1 3 2 I 0.25 1 R 0.25 0 | d1_r1_s3_roundtrip R 2 1 1 1 0 4 4 0 3 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 0 2 1 1 2 1 3 2
d1_r1_s3_full_roundtrip S 1 4 4 2 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 0 2 1 1 2 1 3 2 I 0.25 1 R 0.25 0 | d1_r1_s3_full_roundtrip R 2 1 1 1 0 4 4 0 3 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 0 2 1 1 2 1 3 2
d1_r1_s3_remove_existing S 1 4 4 1 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 0 2 1 1 2 1 3 2 R 1 0 | d1_r1_s3_remove_existing R 1 0 1 0 4 4 0 3 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 0 2 1 1 2 1 3 2
d2_r0_s1_identity B 2 3 2 0 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 3 1 3 | d2_r0_s1_identity R 0 2 0 3 2 0 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 3 1 3
d2_r0_s1_insert B 2 3 2 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 3 1 3 I 0.25 2 | d2_r0_s1_insert R 1 1 2 0 5 3 0 1 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -35/8 -53/16 1 -7/4 -13/4 -1/2 1 -1 -1 -5 1 0 3 1/4 2 1 3
d2_r0_s1_sequence B 2 3 2 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 3 1 3 I 0.75 1 I 0.25 2 I 0.75 2 I 0.25 1 | d2_r0_s1_sequence R 4 1 1 1 1 2 0 7 4 0 1 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -35/8 -53/16 1 -2 -29/8 -23/16 1 -3/2 -19/8 -45/16 1 -5/4 -7/4 -7/2 1 -1 -1 -5 1 0 3 1/4 2 3/4 2 1 3
d2_r0_s1_roundtrip B 2 3 2 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 3 1 3 I 0.25 1 R 0.25 0 | d2_r0_s1_roundtrip R 2 1 1 2 0 3 2 0 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 3 1 3
d2_r0_s1_full_roundtrip B 2 3 2 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 3 1 3 I 0.25 2 R 0.25 0 | d2_r0_s1_full_roundtrip R 2 1 1 2 0 3 2 0 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 3 1 3
d2_r0_s3_identity S 2 6 4 0 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3 | d2_r0_s3_identity R 0 2 0 6 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3
d2_r0_s3_insert S 2 6 4 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3 I 0.25 2 | d2_r0_s3_insert R 1 1 2 0 8 5 0 3 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -35/8 -53/16 1 -7/4 -13/4 -1/2 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1/4 2 1 2 2 1 3 3
d2_r0_s3_sequence S 2 6 4 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3 I 0.75 1 I 0.25 2 I 0.75 2 I 0.25 1 | d2_r0_s3_sequence R 4 1 1 1 1 2 0 10 6 0 3 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -35/8 -53/16 1 -2 -29/8 -23/16 1 -3/2 -19/8 -45/16 1 -5/4 -7/4 -7/2 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1/4 2 3/4 2 1 2 2 1 3 3
d2_r0_s3_roundtrip S 2 6 4 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3 I 0.25 1 R 0.25 0 | d2_r0_s3_roundtrip R 2 1 1 2 0 6 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3
d2_r0_s3_full_roundtrip S 2 6 4 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3 I 0.25 2 R 0.25 0 | d2_r0_s3_full_roundtrip R 2 1 1 2 0 6 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3
d2_r0_s3_remove_existing S 2 6 4 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3 R 1 1 | d2_r0_s3_remove_existing R 1 0 2 0 6 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 0 3 1 2 2 1 3 3
d2_r1_s1_identity B 2 3 2 0 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 3 1 3 | d2_r1_s1_identity R 0 2 0 3 2 0 1 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 3 1 3
d2_r1_s1_insert B 2 3 2 1 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 3 1 3 I 0.25 2 | d2_r1_s1_insert R 1 1 2 0 5 3 0 1 -3/2 -5/2 -3 1/2 -13/8 -23/8 -2 5/8 -27/16 -3 -57/32 3/4 -15/8 -27/8 -9/8 9/8 -3/2 -3/2 -15/2 3/2 0 3 1/4 2 1 3
d2_r1_s1_sequence B 2 3 2 4 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 3 1 3 I 0.75 1 I 0.25 2 I 0.75 2 I 0.25 1 | d2_r1_s1_sequence R 4 1 1 1 1 2 0 7 4 0 1 -3/2 -5/2 -3 1/2 -13/8 -23/8 -2 5/8 -27/16 -3 -57/32 3/4 -29/16 -13/4 -43/32 1 -27/16 -5/2 -129/32 5/4 -13/8 -17/8 -43/8 11/8 -3/2 -3/2 -15/2 3/2 0 3 1/4 2 3/4 2 1 3
d2_r1_s1_roundtrip B 2 3 2 2 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 3 1 3 I 0.25 1 R 0.25 0 | d2_r1_s1_roundtrip R 2 1 1 2 0 3 2 0 1 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 3 1 3
d2_r1_s1_full_roundtrip B 2 3 2 2 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 3 1 3 I 0.25 2 R 0.25 0 | d2_r1_s1_full_roundtrip R 2 1 1 2 0 3 2 0 1 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 3 1 3
d2_r1_s3_identity S 2 6 4 0 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 1 0 -4 1 2 -2 3 1.5 0 3 1 2 2 1 3 3 | d2_r1_s3_identity R 0 2 0 6 4 0 3 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 1 0 -4 1 3 -3 9/2 3/2 0 3 1 2 2 1 3 3
d2_r1_s3_insert S 2 6 4 1 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 1 0 -4 1 2 -2 3 1.5 0 3 1 2 2 1 3 3 I 0.25 2 | d2_r1_s3_insert R 1 1 2 0 8 5 0 3 -3/2 -5/2 -3 1/2 -13/8 -23/8 -2 5/8 -27/16 -3 -57/32 3/4 -15/8 -27/8 -9/8 9/8 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 1 0 -4 1 3 -3 9/2 3/2 0 3 1/4 2 1 2 2 1 3 3
d2_r1_s3_sequence S 2 6 4 4 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 1 0 -4 1 2 -2 3 1.5 0 3 1 2 2 1 3 3 I 0.75 1 I 0.25 2 I 0.75 2 I 0.25 1 | d2_r1_s3_sequence R 4 1 1 1 1 2 0 10 6 0 3 -3/2 -5/2 -3 1/2 -13/8 -23/8 -2 5/8 -27/16 -3 -57/32 3/4 -29/16 -13/4 -43/32 1 -27/16 -5/2 -129/32 5/4 -13/8 -17/8 -43/8 11/8 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 1 0 -4 1 3 -3 9/2 3/2 0 3 1/4 2 3/4 2 1 2 2 1 3 3
d2_r1_s3_roundtrip S 2 6 4 2 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 1 0 -4 1 2 -2 3 1.5 0 3 1 2 2 1 3 3 I 0.25 1 R 0.25 0 | d2_r1_s3_roundtrip R 2 1 1 2 0 6 4 0 3 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 1 0 -4 1 3 -3 9/2 3/2 0 3 1 2 2 1 3 3
d2_r1_s3_full_roundtrip S 2 6 4 2 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 1 0 -4 1 2 -2 3 1.5 0 3 1 2 2 1 3 3 I 0.25 2 R 0.25 0 | d2_r1_s3_full_roundtrip R 2 1 1 2 0 6 4 0 3 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 1 0 -4 1 3 -3 9/2 3/2 0 3 1 2 2 1 3 3
d2_r1_s3_remove_existing S 2 6 4 1 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 1 0 -4 1 2 -2 3 1.5 0 3 1 2 2 1 3 3 R 1 1 | d2_r1_s3_remove_existing R 1 0 2 0 6 4 0 3 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 1 0 -4 1 3 -3 9/2 3/2 0 3 1 2 2 1 3 3
d3_r0_s1_identity B 3 4 2 0 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 4 1 4 | d3_r0_s1_identity R 0 3 0 4 2 0 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 4 1 4
d3_r0_s1_insert B 3 4 2 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 4 1 4 I 0.25 3 | d3_r0_s1_insert R 1 1 3 0 7 3 0 1 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -35/8 -53/16 1 -9/4 -31/8 -89/32 1 -3/2 -19/8 -19/16 1 -3/4 1/4 -13/4 1 0 4 2 1 0 4 1/4 3 1 4
d3_r0_s1_sequence B 3 4 2 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 4 1 4 I 0.75 1 I 0.25 3 I 0.75 3 I 0.25 1 | d3_r0_s1_sequence R 4 1 1 1 1 3 0 10 4 0 1 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -35/8 -53/16 1 -9/4 -31/8 -89/32 1 -7/4 -23/8 -55/32 1 -5/4 -11/8 -73/32 1 -3/4 5/8 -39/32 1 -1/2 13/8 -11/16 1 -1/4 11/4 1/4 1 0 4 2 1 0 4 1/4 3 3/4 3 1 4
d3_r0_s1_roundtrip B 3 4 2 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 4 1 4 I 0.25 1 R 0.25 0 | d3_r0_s1_roundtrip R 2 1 1 3 0 4 2 0 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 4 1 4
d3_r0_s1_full_roundtrip B 3 4 2 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 4 1 4 I 0.25 3 R 0.25 0 | d3_r0_s1_full_roundtrip R 2 1 1 3 0 4 2 0 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 4 1 4
d3_r0_s3_identity S 3 8 4 0 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4 | d3_r0_s3_identity R 0 3 0 8 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4
d3_r0_s3_insert S 3 8 4 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4 I 0.25 3 | d3_r0_s3_insert R 1 1 3 0 11 5 0 3 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -35/8 -53/16 1 -9/4 -31/8 -89/32 1 -3/2 -19/8 -19/16 1 -3/4 1/4 -13/4 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1/4 3 1 3 2 1 3 4
d3_r0_s3_sequence S 3 8 4 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4 I 0.75 1 I 0.25 3 I 0.75 3 I 0.25 1 | d3_r0_s3_sequence R 4 1 1 1 1 3 0 14 6 0 3 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -35/8 -53/16 1 -9/4 -31/8 -89/32 1 -7/4 -23/8 -55/32 1 -5/4 -11/8 -73/32 1 -3/4 5/8 -39/32 1 -1/2 13/8 -11/16 1 -1/4 11/4 1/4 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1/4 3 3/4 3 1 3 2 1 3 4
d3_r0_s3_roundtrip S 3 8 4 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4 I 0.25 1 R 0.25 0 | d3_r0_s3_roundtrip R 2 1 1 3 0 8 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4
d3_r0_s3_full_roundtrip S 3 8 4 2 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4 I 0.25 3 R 0.25 0 | d3_r0_s3_full_roundtrip R 2 1 1 3 0 8 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4
d3_r0_s3_remove_existing S 3 8 4 1 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4 R 1 2 | d3_r0_s3_remove_existing R 1 0 3 0 8 4 0 3 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 1 0 -4 1 2 -2 3 1 3 -2 -3 1 4 0 4 1 0 4 1 3 2 1 3 4
d3_r1_s1_identity B 3 4 2 0 -3 -5 -6 0.5 -2 -4 1 1 -1 -1 -5 1.5 0 4 2 0.5 0 4 1 4 | d3_r1_s1_identity R 0 3 0 4 2 0 1 -3/2 -5/2 -3 1/2 -2 -4 1 1 -3/2 -3/2 -15/2 3/2 0 2 1 1/2 0 4 1 4
