# rational input | exact contacts/overlaps and independently rounded bounds; X means unrepresentable
d1_f0_d0_t0 0 1 0 2 2 1/3 22/21 0/1 0/1 0/1 1/1 1/1 0/1 1/1 2/1 1/3 2 22/21 2 | 1 0 1/3 0/1 0/1 0/1 3fd5555555555555:3fd5555555555556 0000000000000000:0000000000000000 0000000000000000:0000000000000000 0000000000000000:0000000000000000 B 0 1
d1_f1_d2_t2 1 1 0 2 2 -3655361084946033773421134487508185339029874871665843231344817191493838677900451098970893841772491454193115373500537419932956507033650277625421326307479778472810849417902984994191265565470343014100498245041495811792317115937891994609853171395206053161238827680470312964249494170590415131900637922242593101523404286419086257250814169705665913292098528087014882142560593437550706587555903399536999754395928424459598520202113832700520738569307341554238237662850661644721529459715862827839168476928615402308943427694942657292941765553248288890430158321417798629274614724962288439425790994051443206747019084860722681159583322770696359637890061423830306630177359919945691943708096091561873023363184197779725727467795998812936744052175056974109939766796898640431279948873908969317044955094979270441974240340132370809728281441714882170956925507430371884907240076319542156025945309862219380677000748320041857124832208660660206479243479199997542556567649901656235130172156283475935385709649285986317798142206211186862014574536094807375624151746655918016079427826488776463001112306539097194868321111099508543243159188059519347774441754315830436500686421768360941300660504558447135164043356257720288960610222736083117026315853316479191411039666175/113109521249588525552502068410344831861554359344004194112456208996336292986037618126190204940330197122910512863226643068229418457026718223832808533352568990922208070785553486321125692126363782373786201734344236488968772765249169146566433330184666596647035760482127067650106515620393730330126433396933756349326700166863839198472397411752975993231996616123642127203272319807658591674479611099525905075024619908540802613014616500751594229033055760665412941646316505309294939896487870734038049856044259632143874899032298442772660990439235495233754338082363030674402607474016303616258614675117332518677445487638708586807296 -7310722169892067546842268975016370678059749743331686462689634382987677355800902197941787683544982908386230747001074839865913014067300555250842652614959556945621698835805969988382531130940686028200996490082991623584634231875783989219706342790412106322477655360940625928498988341180830263801275844485186203046808572838172514501628339411331826584197056174029764285121186875101413175111806799073999508791856848919197040404227665401041477138614683108476475325701323289443058919431725655678336953857230804617886855389885314585883531106496577780860316642835597258549229449924576878851581988102886413494038169721445362319166645541392719275780122847660613260354719839891383887416192183123746046726368395559451454935591997625873488104350113948219879533593797280862559897747817938634089910189958540883948480680264741619456562883429764341913851014860743769814480152639084312051890619724438761354001496640083714249664417321320412958486958399995085113135299803312470260344312566951870771419298571972635596284412422373724029149072189614751248303493311836032158855652977552926002224613078194389736642222199017086486318376119038695548883508631660873001372843536721882601321009116894270328086712515440577921220445472166234052631706632958382822079332347/226219042499177051105004136820689663723108718688008388224912417992672585972075236252380409880660394245821025726453286136458836914053436447665617066705137981844416141571106972642251384252727564747572403468688472977937545530498338293132866660369333193294071520964254135300213031240787460660252866793867512698653400333727678396944794823505951986463993232247284254406544639615317183348959222199051810150049239817081605226029233001503188458066111521330825883292633010618589879792975741468076099712088519264287749798064596885545321980878470990467508676164726061348805214948032607232517229350234665037354890975277417173614592 0/1 1/1 0/1 1/1 1/1 2/1 0/1 2/1 -32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 2 -1044388881413152506691752710716624382579964249047383780384233483283953907971557456848826811934997558340890106714439262837987573438185793607263236087851365277945956976543709998340361590134383718314428070011855946226376318839397712745672334684344586617496807908705803704071284048740118609114467977783598029006686938976881787785946905630190260940599579453432823469303026696443059025015972399867714215541693835559885291486318237914434496734087811872639496475100189041349008417061675093668333850551032972088269550769983616369411933015213796825837188091833656751221318492846368125550225998300412344784862595674492194617023806505913245610825731835380087608622102834270197698202313169017678006675195485079921636419370285375124784014907159135459982790513399611551794271106831134090584272884279791554849782954323534517065223269061394905987693002122963395687782878948440616007412945674919823050571642377154816321380631045902916136926708342856440730447899971901781465763473223850267253059899795996090799469201774624817718449867455659250178329070473119433165550807568221846571746373296884912819520317457002440926616910874148385078411929804522981857338977648103126085903001302413467189726673216491511131602920781738033436090243804708340403154190335/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 2 | 0 0
d1_f1_d3_t0 1 1 0 2 2 -1/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 1/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 0/1 1/1 0/1 1/1 1/1 2/1 0/1 2/1 -1/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 2 1/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 2 | 1 0 -1/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 0/1 1/1 0/1 8000000000000001:8000000000000000 0000000000000000:0000000000000000 3ff0000000000000:3ff0000000000000 0000000000000000:0000000000000000 B 0 2
d1_f1_d3_t1 1 1 0 2 2 -5/226219042499177051105004136820689663723108718688008388224912417992672585972075236252380409880660394245821025726453286136458836914053436447665617066705137981844416141571106972642251384252727564747572403468688472977937545530498338293132866660369333193294071520964254135300213031240787460660252866793867512698653400333727678396944794823505951986463993232247284254406544639615317183348959222199051810150049239817081605226029233001503188458066111521330825883292633010618589879792975741468076099712088519264287749798064596885545321980878470990467508676164726061348805214948032607232517229350234665037354890975277417173614592 1/96951018213933021902144630066009855881332308009146452096391036282573965416603672679591604234568740391066153882765694058482358677451472763285264457159344849361892632101902988275250593251168956320388172915152202704830376655927859268485514283015428511411744937556108915128662727674623197425822657197371791156565743000169005027262054924359693708484568528105978966174233416977993078578125380942450775778592531350177830811155385572072795053456904937713211092839699861693681377054132460629175471305180793970409035627741970093805137991805058995914646575499168312006630806406299688813935955435814856444580667560833178788691968 0/1 1/1 0/1 1/1 1/1 2/1 0/1 2/1 -1/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 2 1/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 2 | 0 0
d1_f1_d3_t2 1 1 0 2 2 -3/226219042499177051105004136820689663723108718688008388224912417992672585972075236252380409880660394245821025726453286136458836914053436447665617066705137981844416141571106972642251384252727564747572403468688472977937545530498338293132866660369333193294071520964254135300213031240787460660252866793867512698653400333727678396944794823505951986463993232247284254406544639615317183348959222199051810150049239817081605226029233001503188458066111521330825883292633010618589879792975741468076099712088519264287749798064596885545321980878470990467508676164726061348805214948032607232517229350234665037354890975277417173614592 3/226219042499177051105004136820689663723108718688008388224912417992672585972075236252380409880660394245821025726453286136458836914053436447665617066705137981844416141571106972642251384252727564747572403468688472977937545530498338293132866660369333193294071520964254135300213031240787460660252866793867512698653400333727678396944794823505951986463993232247284254406544639615317183348959222199051810150049239817081605226029233001503188458066111521330825883292633010618589879792975741468076099712088519264287749798064596885545321980878470990467508676164726061348805214948032607232517229350234665037354890975277417173614592 0/1 1/1 0/1 1/1 1/1 2/1 0/1 2/1 -1/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 2 1/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 2 | 0 0
d1_f2_d0_t0 2 1 0 2 2 1/3 22/21 0/1 1/1 0/1 1/1 1/1 2/1 1/1 2/1 1/3 2 22/21 2 | 1 0 1/3 0/1 1/1 0/1 3fd5555555555555:3fd5555555555556 0000000000000000:0000000000000000 3ff0000000000000:3ff0000000000000 0000000000000000:0000000000000000 B 0 2
d1_f2_d0_t1 2 1 0 2 2 64/147 17/21 0/1 1/1 0/1 1/1 1/1 2/1 1/1 2/1 1/3 2 22/21 2 | 0 0
d1_f2_d0_t2 2 1 0 2 2 79/147 124/147 0/1 1/1 0/1 1/1 1/1 2/1 1/1 2/1 1/3 2 22/21 2 | 0 0
d1_f2_d1_t0 2 1 0 2 2 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230659/1 0/1 1/1 0/1 1/1 1/1 2/1 1/1 2/1 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 2 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230659/1 2 | 1 0 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 0/1 1/1 0/1 X 0000000000000000:0000000000000000 3ff0000000000000:3ff0000000000000 0000000000000000:0000000000000000 B 0 2
d1_f2_d1_t1 2 1 0 2 2 226219042499177051105004136820689663723108718688008388224912417992672585972075236252380409880660394245821025726453286136458836914053436447665617066705137981844416141571106972642251384252727564747572403468688472977937545530498338293132866660369333193294071520964254135300213031240787460660252866793867512698653400333727678396944794823505951986463993232247284254406544639615317183348959222199051810150049239817081605226029233001503188458066111521330825883292633010618589879792975741468076099712088519264287749798064596885545321980878470990467508676164726061348805214948032607232517229350234665037354890975277417173614595/7 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230658/1 0/1 1/1 0/1 1/1 1/1 2/1 1/1 2/1 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 2 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230659/1 2 | 0 0
d1_f2_d1_t2 2 1 0 2 2 226219042499177051105004136820689663723108718688008388224912417992672585972075236252380409880660394245821025726453286136458836914053436447665617066705137981844416141571106972642251384252727564747572403468688472977937545530498338293132866660369333193294071520964254135300213031240787460660252866793867512698653400333727678396944794823505951986463993232247284254406544639615317183348959222199051810150049239817081605226029233001503188458066111521330825883292633010618589879792975741468076099712088519264287749798064596885545321980878470990467508676164726061348805214948032607232517229350234665037354890975277417173614598/7 226219042499177051105004136820689663723108718688008388224912417992672585972075236252380409880660394245821025726453286136458836914053436447665617066705137981844416141571106972642251384252727564747572403468688472977937545530498338293132866660369333193294071520964254135300213031240787460660252866793867512698653400333727678396944794823505951986463993232247284254406544639615317183348959222199051810150049239817081605226029233001503188458066111521330825883292633010618589879792975741468076099712088519264287749798064596885545321980878470990467508676164726061348805214948032607232517229350234665037354890975277417173614607/7 0/1 1/1 0/1 1/1 1/1 2/1 1/1 2/1 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 2 32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230659/1 2 | 0 0
d1_f2_d2_t0 2 1 0 2 2 -32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 -1044388881413152506691752710716624382579964249047383780384233483283953907971557456848826811934997558340890106714439262837987573438185793607263236087851365277945956976543709998340361590134383718314428070011855946226376318839397712745672334684344586617496807908705803704071284048740118609114467977783598029006686938976881787785946905630190260940599579453432823469303026696443059025015972399867714215541693835559885291486318237914434496734087811872639496475100189041349008417061675093668333850551032972088269550769983616369411933015213796825837188091833656751221318492846368125550225998300412344784862595674492194617023806505913245610825731835380087608622102834270197698202313169017678006675195485079921636419370285375124784014907159135459982790513399611551794271106831134090584272884279791554849782954323534517065223269061394905987693002122963395687782878948440616007412945674919823050571642377154816321380631045902916136926708342856440730447899971901781465763473223850267253059899795996090799469201774624817718449867455659250178329070473119433165550807568221846571746373296884912819520317457002440926616910874148385078411929804522981857338977648103126085903001302413467189726673216491511131602920781738033436090243804708340403154190335/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 0/1 1/1 0/1 1/1 1/1 2/1 1/1 2/1 -32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 2 -1044388881413152506691752710716624382579964249047383780384233483283953907971557456848826811934997558340890106714439262837987573438185793607263236087851365277945956976543709998340361590134383718314428070011855946226376318839397712745672334684344586617496807908705803704071284048740118609114467977783598029006686938976881787785946905630190260940599579453432823469303026696443059025015972399867714215541693835559885291486318237914434496734087811872639496475100189041349008417061675093668333850551032972088269550769983616369411933015213796825837188091833656751221318492846368125550225998300412344784862595674492194617023806505913245610825731835380087608622102834270197698202313169017678006675195485079921636419370285375124784014907159135459982790513399611551794271106831134090584272884279791554849782954323534517065223269061394905987693002122963395687782878948440616007412945674919823050571642377154816321380631045902916136926708342856440730447899971901781465763473223850267253059899795996090799469201774624817718449867455659250178329070473119433165550807568221846571746373296884912819520317457002440926616910874148385078411929804522981857338977648103126085903001302413467189726673216491511131602920781738033436090243804708340403154190335/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 2 | 1 0 -32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 0/1 1/1 0/1 X 0000000000000000:0000000000000000 3ff0000000000000:3ff0000000000000 0000000000000000:0000000000000000 B 0 2
d1_f2_d2_t1 2 1 0 2 2 -7310722169892067546842268975016370678059749743331686462689634382987677355800902197941787683544982908386230747001074839865913014067300555250842652614959556945621698835805969988382531130940686028200996490082991623584634231875783989219706342790412106322477655360940625928498988341180830263801275844485186203046808572838172514501628339411331826584197056174029764285121186875101413175111806799073999508791856848919197040404227665401041477138614683108476475325701323289443058919431725655678336953857230804617886855389885314585883531106496577780860316642835597258549229449924576878851581988102886413494038169721445362319166645541392719275780122847660613260354719839891383887416192183123746046726368395559451454935591997625873488104350113948219879533593797280862559897747817938634089910189958540883948480680264741619456562883429764341913851014860743769814480152639084312051890619724438761354001496640083714249664417321320412958486958399995085113135299803312470260344312566951870771419298571972635596284412422373724029149072189614751248303493311836032158855652977552926002224613078194389736642222199017086486318376119038695548883508631660873001372843536721882601321009116894270328086712515440577921220445472166234052631706632958382822079332351/226219042499177051105004136820689663723108718688008388224912417992672585972075236252380409880660394245821025726453286136458836914053436447665617066705137981844416141571106972642251384252727564747572403468688472977937545530498338293132866660369333193294071520964254135300213031240787460660252866793867512698653400333727678396944794823505951986463993232247284254406544639615317183348959222199051810150049239817081605226029233001503188458066111521330825883292633010618589879792975741468076099712088519264287749798064596885545321980878470990467508676164726061348805214948032607232517229350234665037354890975277417173614592 -1566583322119728760037629066074936573869946373571075670576350224925930861957336185273240217902496337511335160071658894256981360157278690410894854131777047916918935464815564997510542385201575577471642105017783919339564478259096569118508502026516879926245211863058705556106926073110177913671701966675397043510030408465322681678920358445285391410899369180149235203954540044664588537523958599801571323312540753339827937229477356871651745101131717808959244712650283562023512625592512640502500775826549458132404326154975424554117899522820695238755782137750485126831977739269552188325338997450618517177293893511738291925535709758869868416238597753070131412933154251405296547303469753526517010012793227619882454629055428062687176022360738703189974185770099417327691406660246701135876409326419687332274674431485301775597834903592092358981539503184445093531674318422660924011119418512379734575857463565732224482070946568854374205390062514284661095671849957852672198645209835775400879589849693994136199203802661937226577674801183488875267493605709679149748326211352332769857619559945327369229280476185503661389925366311222577617617894706784472786008466472154689128854501953620200784590009824737266697404381172607050154135365707062510604731285503/48475509106966510951072315033004927940666154004573226048195518141286982708301836339795802117284370195533076941382847029241179338725736381642632228579672424680946316050951494137625296625584478160194086457576101352415188327963929634242757141507714255705872468778054457564331363837311598712911328598685895578282871500084502513631027462179846854242284264052989483087116708488996539289062690471225387889296265675088915405577692786036397526728452468856605546419849930846840688527066230314587735652590396985204517813870985046902568995902529497957323287749584156003315403203149844406967977717907428222290333780416589394345984 0/1 1/1 0/1 1/1 1/1 2/1 1/1 2/1 -32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656/1 2 -1044388881413152506691752710716624382579964249047383780384233483283953907971557456848826811934997558340890106714439262837987573438185793607263236087851365277945956976543709998340361590134383718314428070011855946226376318839397712745672334684344586617496807908705803704071284048740118609114467977783598029006686938976881787785946905630190260940599579453432823469303026696443059025015972399867714215541693835559885291486318237914434496734087811872639496475100189041349008417061675093668333850551032972088269550769983616369411933015213796825837188091833656751221318492846368125550225998300412344784862595674492194617023806505913245610825731835380087608622102834270197698202313169017678006675195485079921636419370285375124784014907159135459982790513399611551794271106831134090584272884279791554849782954323534517065223269061394905987693002122963395687782878948440616007412945674919823050571642377154816321380631045902916136926708342856440730447899971901781465763473223850267253059899795996090799469201774624817718449867455659250178329070473119433165550807568221846571746373296884912819520317457002440926616910874148385078411929804522981857338977648103126085903001302413467189726673216491511131602920781738033436090243804708340403154190335/32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656 2 | 0 0
