# input | exact output: label R count [degree first last (wx wy wz w)*]
upstream_cubic_w1_op4 S 3 4 2 0.125 0.875 4 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w1_op4 R 1 6 1/8 7/8 3/8 21/64 0 1 3/4 39/64 0 1 9/8 249/320 0 1 3/2 267/320 0 1 15/8 249/320 0 1 9/4 39/64 0 1 21/8 21/64 0 1
upstream_cubic_w1_op5 S 3 4 2 0.125 0.875 5 6 0 0 0 1 1 1 0 1 2 1 0 1 3 0 0 1 0 4 1 4 | upstream_cubic_w1_op5 R 2 6 5/16 29/64 33/16 165/256 0 1 255/128 687/1024 0 1 123/64 14199/20480 0 1 237/128 14577/20480 0 1 57/32 7437/10240 0 1 219/128 1509/2048 0 1 105/64 3045/4096 0 1 6 29/64 11/16 105/64 3045/4096 0 1 195/128 1545/2048 0 1 45/32 1545/2048 0 1 165/128 3045/4096 0 1 75/64 2955/4096 0 1 135/128 705/1024 0 1 15/16 165/256 0 1
quarter_conic_w0_op0 B 2 3 2 0 1 0 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w0_op0 R 1 2 0 1 1 0 0 1 6369051672525773/9007199254740992 6369051672525773/9007199254740992 0 6369051672525773/9007199254740992 0 1 0 1
quarter_conic_w0_op1 B 2 3 2 0 1 1 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w0_op1 R 1 2 1/4 3/4 59639551663911783/72057594037927936 23610754644947815/72057594037927936 0 64143151291282279/72057594037927936 45356057244740353/72057594037927936 45356057244740353/72057594037927936 0 58866856126851841/72057594037927936 23610754644947815/72057594037927936 59639551663911783/72057594037927936 0 64143151291282279/72057594037927936
quarter_conic_w0_op2 B 2 3 2 0 1 2 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w0_op2 R 2 2 0 3/8 1 0 0 1 64143151291282279/72057594037927936 19107155017577319/72057594037927936 0 64143151291282279/72057594037927936 208125765772148995/288230376151711744 136068171734221059/288230376151711744 0 248658162418483459/288230376151711744 2 3/8 1 208125765772148995/288230376151711744 136068171734221059/288230376151711744 0 248658162418483459/288230376151711744 31845258362628865/72057594037927936 58866856126851841/72057594037927936 0 58866856126851841/72057594037927936 0 1 0 1
quarter_conic_w0_op3 B 2 3 2 0 1 3 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w0_op3 R 1 2 0 1 0 1 0 1 6369051672525773/9007199254740992 6369051672525773/9007199254740992 0 6369051672525773/9007199254740992 1 0 0 1
quarter_conic_w0_op4 B 2 3 2 0 1 4 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w0_op4 R 1 5 0 1 1 0 0 1 19879850554637261/22517998136852480 6369051672525773/22517998136852480 0 19879850554637261/22517998136852480 32617953899688807/45035996273704960 4722150928989563/9007199254740992 0 37121553527059303/45035996273704960 4722150928989563/9007199254740992 32617953899688807/45035996273704960 0 37121553527059303/45035996273704960 6369051672525773/22517998136852480 19879850554637261/22517998136852480 0 19879850554637261/22517998136852480 0 1 0 1
quarter_conic_w0_op5 B 2 3 2 0 1 5 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w0_op5 R 2 5 1/4 7/16 23610754644947815/72057594037927936 59639551663911783/72057594037927936 0 64143151291282279/72057594037927936 268725500349166957/720575940379279360 114994055002072137/144115188075855872 0 633517070166177133/720575940379279360 4804706199575294731/11529215046068469760 8839931465699259147/11529215046068469760 0 10033385366952440587/11529215046068469760 5293015325157520657/11529215046068469760 8463549462826349841/11529215046068469760 0 9954240939485984017/11529215046068469760 576453538233334909/1152921504606846976 4035189195773521521/5764607523034234880 0 4949419920129732209/5764607523034234880 621926637110278003/1152921504606846976 766041825186133875/1152921504606846976 0 986718206927288179/1152921504606846976 5 7/16 3/4 621926637110278003/1152921504606846976 766041825186133875/1152921504606846976 0 986718206927288179/1152921504606846976 697715135238516493/1152921504606846976 697715135238516493/1152921504606846976 0 981441911762857741/1152921504606846976 1537680006507733581/2305843009213693952 1249449630356021837/2305843009213693952 0 1965521971107930701/2305843009213693952 1670602482312657791/2305843009213693952 1094141730009234303/2305843009213693952 0 1981350856601222015/2305843009213693952 112137356118237851/144115188075855872 58094160589791899/144115188075855872 0 125648155000349339/144115188075855872 59639551663911783/72057594037927936 23610754644947815/72057594037927936 0 64143151291282279/72057594037927936
quarter_conic_w1_op0 B 2 3 2 0.125 0.875 0 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w1_op0 R 1 2 1/8 7/8 265259743448834715/288230376151711744 49086961335050907/288230376151711744 0 269763343076205211/288230376151711744 190751489204737797/288230376151711744 190751489204737797/288230376151711744 0 222276686596331269/288230376151711744 49086961335050907/288230376151711744 265259743448834715/288230376151711744 0 269763343076205211/288230376151711744
quarter_conic_w1_op1 B 2 3 2 0.125 0.875 1 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w1_op1 R 1 2 5/16 11/16 895233396900747531/1152921504606846976 462887832673179915/1152921504606846976 0 1007823387585009931/1152921504606846976 712638751599758709/1152921504606846976 712638751599758709/1152921504606846976 0 960336731105135989/1152921504606846976 462887832673179915/1152921504606846976 895233396900747531/1152921504606846976 0 1007823387585009931/1152921504606846976
quarter_conic_w1_op2 B 2 3 2 0.125 0.875 2 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w1_op2 R 2 2 1/8 13/32 265259743448834715/288230376151711744 49086961335050907/288230376151711744 0 269763343076205211/288230376151711744 949276592429193483/1152921504606846976 408844637144733963/1152921504606846976 0 1007823387585009931/1152921504606846976 3198955228594614987/4611686018427387904 2334264100139479755/4611686018427387904 0 3960063565620228811/4611686018427387904 2 13/32 7/8 3198955228594614987/4611686018427387904 2334264100139479755/4611686018427387904 0 3960063565620228811/4611686018427387904 550509165014420853/1152921504606846976 874768338185096565/1152921504606846976 0 960336731105135989/1152921504606846976 49086961335050907/288230376151711744 265259743448834715/288230376151711744 0 269763343076205211/288230376151711744
quarter_conic_w1_op3 B 2 3 2 0.125 0.875 3 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w1_op3 R 1 2 1/8 7/8 49086961335050907/288230376151711744 265259743448834715/288230376151711744 0 269763343076205211/288230376151711744 190751489204737797/288230376151711744 190751489204737797/288230376151711744 0 222276686596331269/288230376151711744 265259743448834715/288230376151711744 49086961335050907/288230376151711744 0 269763343076205211/288230376151711744
quarter_conic_w1_op4 B 2 3 2 0.125 0.875 4 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w1_op4 R 1 5 1/8 7/8 265259743448834715/288230376151711744 49086961335050907/288230376151711744 0 269763343076205211/288230376151711744 1177282208755979739/1441151880758558720 105752772482925663/288230376151711744 0 1253843402421278171/1441151880758558720 994687563454990917/1441151880758558720 778514781341207109/1441151880758558720 0 1206356745941404229/1441151880758558720 778514781341207109/1441151880758558720 994687563454990917/1441151880758558720 0 1206356745941404229/1441151880758558720 105752772482925663/288230376151711744 1177282208755979739/1441151880758558720 0 1253843402421278171/1441151880758558720 49086961335050907/288230376151711744 265259743448834715/288230376151711744 0 269763343076205211/288230376151711744
quarter_conic_w1_op5 B 2 3 2 0.125 0.875 5 5 1 0 0 1 1 1 0 0.70710678118654757 0 1 0 1 0 3 1 3 | quarter_conic_w1_op5 R 2 5 5/16 29/64 462887832673179915/1152921504606846976 895233396900747531/1152921504606846976 0 1007823387585009931/1152921504606846976 5003504705121667341/11529215046068469760 8678442001055992077/11529215046068469760 0 10007003891130288397/11529215046068469760 17179799144105398215/36893488147419103232 134321698914014564067/184467440737095516160 0 159186072456727072483/184467440737095516160 91590814543449727257/184467440737095516160 25927444839095135493/36893488147419103232 0 158473772609528963353/184467440737095516160 48565765875357443001/92233720368547758080 62400823930639606713/92233720368547758080 0 78987581358245143481/92233720368547758080 10252114734232246731/18446744073709551616 11981496991142517195/18446744073709551616 0 15769024277761104331/18446744073709551616 5 29/64 11/16 10252114734232246731/18446744073709551616 11981496991142517195/18446744073709551616 0 15769024277761104331/18446744073709551616 11150383999500176949/18446744073709551616 11150383999500176949/18446744073709551616 0 15721537621281230389/18446744073709551616 24013361187504226869/36893488147419103232 20554596673683685941/36893488147419103232 0 31466818570802397749/36893488147419103232 25642009033976112375/36893488147419103232 18724480006335030519/36893488147419103232 0 31609278540242019575/36893488147419103232 1699169471151000651/2305843009213693952 1050651124809649227/2305843009213693952 0 1991903446930082891/2305843009213693952 895233396900747531/1152921504606846976 462887832673179915/1152921504606846976 0 1007823387585009931/1152921504606846976
d1_r0_s1_w0_op0 B 1 2 2 0 1 0 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w0_op0 R 1 1 0 1 -3 -5 -6 1 -2 -4 1 1
d1_r0_s1_w0_op1 B 1 2 2 0 1 1 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w0_op1 R 1 1 1/4 3/4 -11/4 -19/4 -17/4 1 -9/4 -17/4 -3/4 1
d1_r0_s1_w0_op2 B 1 2 2 0 1 2 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w0_op2 R 2 1 0 3/8 -3 -5 -6 1 -21/8 -37/8 -27/8 1 1 3/8 1 -21/8 -37/8 -27/8 1 -2 -4 1 1
d1_r0_s1_w0_op3 B 1 2 2 0 1 3 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w0_op3 R 1 1 0 1 -2 -4 1 1 -3 -5 -6 1
d1_r0_s1_w0_op4 B 1 2 2 0 1 4 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w0_op4 R 1 4 0 1 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -9/2 -5/2 1 -9/4 -17/4 -3/4 1 -2 -4 1 1
d1_r0_s1_w0_op5 B 1 2 2 0 1 5 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w0_op5 R 2 4 1/4 7/16 -9/4 -17/4 -3/4 1 -147/64 -275/64 -69/64 1 -75/32 -139/32 -45/32 1 -153/64 -281/64 -111/64 1 -39/16 -71/16 -33/16 1 4 7/16 3/4 -39/16 -71/16 -33/16 1 -161/64 -289/64 -167/64 1 -83/32 -147/32 -101/32 1 -171/64 -299/64 -237/64 1 -11/4 -19/4 -17/4 1
d1_r0_s1_w1_op0 B 1 2 2 0.125 0.875 0 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w1_op0 R 1 1 1/8 7/8 -23/8 -39/8 -41/8 1 -17/8 -33/8 1/8 1
d1_r0_s1_w1_op1 B 1 2 2 0.125 0.875 1 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w1_op1 R 1 1 5/16 11/16 -43/16 -75/16 -61/16 1 -37/16 -69/16 -19/16 1
d1_r0_s1_w1_op2 B 1 2 2 0.125 0.875 2 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w1_op2 R 2 1 1/8 13/32 -23/8 -39/8 -41/8 1 -83/32 -147/32 -101/32 1 1 13/32 7/8 -83/32 -147/32 -101/32 1 -17/8 -33/8 1/8 1
d1_r0_s1_w1_op3 B 1 2 2 0.125 0.875 3 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w1_op3 R 1 1 1/8 7/8 -17/8 -33/8 1/8 1 -23/8 -39/8 -41/8 1
d1_r0_s1_w1_op4 B 1 2 2 0.125 0.875 4 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w1_op4 R 1 4 1/8 7/8 -23/8 -39/8 -41/8 1 -43/16 -75/16 -61/16 1 -5/2 -9/2 -5/2 1 -37/16 -69/16 -19/16 1 -17/8 -33/8 1/8 1
d1_r0_s1_w1_op5 B 1 2 2 0.125 0.875 5 4 -3 -5 -6 1 -2 -4 1 1 0 2 1 2 | d1_r0_s1_w1_op5 R 2 4 5/16 29/64 -37/16 -69/16 -19/16 1 -601/256 -1113/256 -367/256 1 -305/128 -561/128 -215/128 1 -619/256 -1131/256 -493/256 1 -157/64 -285/64 -139/64 1 4 29/64 11/16 -157/64 -285/64 -139/64 1 -643/256 -1155/256 -661/256 1 -329/128 -585/128 -383/128 1 -673/256 -1185/256 -871/256 1 -43/16 -75/16 -61/16 1
d1_r0_s3_w0_op0 S 1 4 4 0 3 0 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w0_op0 R 3 1 0 1 -3 -5 -6 1 -2 -4 1 1 1 1 2 -2 -4 1 1 -1 -1 -5 1 1 2 3 -1 -1 -5 1 0 4 2 1
d1_r0_s3_w0_op1 S 1 4 4 0 3 1 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w0_op1 R 3 1 1/4 3/4 -11/4 -19/4 -17/4 1 -9/4 -17/4 -3/4 1 1 5/4 7/4 -7/4 -13/4 -1/2 1 -5/4 -7/4 -7/2 1 1 9/4 11/4 -3/4 1/4 -13/4 1 -1/4 11/4 1/4 1
d1_r0_s3_w0_op2 S 1 4 4 0 3 2 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w0_op2 R 6 1 0 3/8 -3 -5 -6 1 -21/8 -37/8 -27/8 1 1 3/8 1 -21/8 -37/8 -27/8 1 -2 -4 1 1 1 1 11/8 -2 -4 1 1 -13/8 -23/8 -5/4 1 1 11/8 2 -13/8 -23/8 -5/4 1 -1 -1 -5 1 1 2 19/8 -1 -1 -5 1 -5/8 7/8 -19/8 1 1 19/8 3 -5/8 7/8 -19/8 1 0 4 2 1
d1_r0_s3_w0_op3 S 1 4 4 0 3 3 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w0_op3 R 3 1 0 1 -2 -4 1 1 -3 -5 -6 1 1 1 2 -1 -1 -5 1 -2 -4 1 1 1 2 3 0 4 2 1 -1 -1 -5 1
d1_r0_s3_w0_op4 S 1 4 4 0 3 4 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w0_op4 R 3 4 0 1 -3 -5 -6 1 -11/4 -19/4 -17/4 1 -5/2 -9/2 -5/2 1 -9/4 -17/4 -3/4 1 -2 -4 1 1 4 1 2 -2 -4 1 1 -7/4 -13/4 -1/2 1 -3/2 -5/2 -2 1 -5/4 -7/4 -7/2 1 -1 -1 -5 1 4 2 3 -1 -1 -5 1 -3/4 1/4 -13/4 1 -1/2 3/2 -3/2 1 -1/4 11/4 1/4 1 0 4 2 1
d1_r0_s3_w0_op5 S 1 4 4 0 3 5 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w0_op5 R 6 4 1/4 7/16 -9/4 -17/4 -3/4 1 -147/64 -275/64 -69/64 1 -75/32 -139/32 -45/32 1 -153/64 -281/64 -111/64 1 -39/16 -71/16 -33/16 1 4 7/16 3/4 -39/16 -71/16 -33/16 1 -161/64 -289/64 -167/64 1 -83/32 -147/32 -101/32 1 -171/64 -299/64 -237/64 1 -11/4 -19/4 -17/4 1 4 5/4 23/16 -5/4 -7/4 -7/2 1 -83/64 -121/64 -103/32 1 -43/32 -65/32 -47/16 1 -89/64 -139/64 -85/32 1 -23/16 -37/16 -19/8 1 4 23/16 7/4 -23/16 -37/16 -19/8 1 -97/64 -163/64 -61/32 1 -51/32 -89/32 -23/16 1 -107/64 -193/64 -31/32 1 -7/4 -13/4 -1/2 1 4 9/4 39/16 -1/4 11/4 1/4 1 -19/64 161/64 -5/64 1 -11/32 73/32 -13/32 1 -25/64 131/64 -47/64 1 -7/16 29/16 -17/16 1 4 39/16 11/4 -7/16 29/16 -17/16 1 -33/64 91/64 -103/64 1 -19/32 33/32 -69/32 1 -43/64 41/64 -173/64 1 -3/4 1/4 -13/4 1
d1_r0_s3_w1_op0 S 1 4 4 0.375 2.625 0 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w1_op0 R 3 1 3/8 1 -21/8 -37/8 -27/8 1 -2 -4 1 1 1 1 2 -2 -4 1 1 -1 -1 -5 1 1 2 21/8 -1 -1 -5 1 -3/8 17/8 -5/8 1
d1_r0_s3_w1_op1 S 1 4 4 0.375 2.625 1 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w1_op1 R 3 1 17/32 27/32 -79/32 -143/32 -73/32 1 -69/32 -133/32 -3/32 1 1 5/4 7/4 -7/4 -13/4 -1/2 1 -5/4 -7/4 -7/2 1 1 69/32 79/32 -27/32 -7/32 -125/32 1 -17/32 43/32 -55/32 1
d1_r0_s3_w1_op2 S 1 4 4 0.375 2.625 2 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w1_op2 R 6 1 3/8 39/64 -21/8 -37/8 -27/8 1 -153/64 -281/64 -111/64 1 1 39/64 1 -153/64 -281/64 -111/64 1 -2 -4 1 1 1 1 11/8 -2 -4 1 1 -13/8 -23/8 -5/4 1 1 11/8 2 -13/8 -23/8 -5/4 1 -1 -1 -5 1 1 2 143/64 -1 -1 -5 1 -49/64 11/64 -215/64 1 1 143/64 21/8 -49/64 11/64 -215/64 1 -3/8 17/8 -5/8 1
d1_r0_s3_w1_op3 S 1 4 4 0.375 2.625 3 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w1_op3 R 3 1 3/8 1 -2 -4 1 1 -21/8 -37/8 -27/8 1 1 1 2 -1 -1 -5 1 -2 -4 1 1 1 2 21/8 -3/8 17/8 -5/8 1 -1 -1 -5 1
d1_r0_s3_w1_op4 S 1 4 4 0.375 2.625 4 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w1_op4 R 3 4 3/8 1 -21/8 -37/8 -27/8 1 -79/32 -143/32 -73/32 1 -37/16 -69/16 -19/16 1 -69/32 -133/32 -3/32 1 -2 -4 1 1 4 1 2 -2 -4 1 1 -7/4 -13/4 -1/2 1 -3/2 -5/2 -2 1 -5/4 -7/4 -7/2 1 -1 -1 -5 1 4 2 21/8 -1 -1 -5 1 -27/32 -7/32 -125/32 1 -11/16 9/16 -45/16 1 -17/32 43/32 -55/32 1 -3/8 17/8 -5/8 1
d1_r0_s3_w1_op5 S 1 4 4 0.375 2.625 5 4 -3 -5 -6 1 -2 -4 1 1 -1 -1 -5 1 0 4 2 1 0 2 1 1 2 1 3 2 | d1_r0_s3_w1_op5 R 6 4 17/32 83/128 -69/32 -133/32 -3/32 1 -1119/512 -2143/512 -153/512 1 -567/256 -1079/256 -129/256 1 -1149/512 -2173/512 -363/512 1 -291/128 -547/128 -117/128 1 4 83/128 27/32 -291/128 -547/128 -117/128 1 -1189/512 -2213/512 -643/512 1 -607/256 -1119/256 -409/256 1 -1239/512 -2263/512 -993/512 1 -79/32 -143/32 -73/32 1 4 5/4 23/16 -5/4 -7/4 -7/2 1 -83/64 -121/64 -103/32 1 -43/32 -65/32 -47/16 1 -89/64 -139/64 -85/32 1 -23/16 -37/16 -19/8 1 4 23/16 7/4 -23/16 -37/16 -19/8 1 -97/64 -163/64 -61/32 1 -51/32 -89/32 -23/16 1 -107/64 -193/64 -31/32 1 -7/4 -13/4 -1/2 1 4 69/32 291/128 -17/32 43/32 -55/32 1 -287/512 613/512 -985/512 1 -151/256 269/256 -545/256 1 -317/512 463/512 -1195/512 1 -83/128 97/128 -325/128 1 4 291/128 79/32 -83/128 97/128 -325/128 1 -357/512 263/512 -1475/512 1 -191/256 69/256 -825/256 1 -407/512 13/512 -1825/512 1 -27/32 -7/32 -125/32 1
d1_r1_s1_w0_op0 B 1 2 2 0 1 0 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w0_op0 R 1 1 0 1 -3/2 -5/2 -3 1/2 -2 -4 1 1
d1_r1_s1_w0_op1 B 1 2 2 0 1 1 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w0_op1 R 1 1 1/4 3/4 -13/8 -23/8 -2 5/8 -15/8 -29/8 0 7/8
d1_r1_s1_w0_op2 B 1 2 2 0 1 2 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w0_op2 R 2 1 0 3/8 -3/2 -5/2 -3 1/2 -27/16 -49/16 -3/2 11/16 1 3/8 1 -27/16 -49/16 -3/2 11/16 -2 -4 1 1
d1_r1_s1_w0_op3 B 1 2 2 0 1 3 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w0_op3 R 1 1 0 1 -2 -4 1 1 -3/2 -5/2 -3 1/2
d1_r1_s1_w0_op4 B 1 2 2 0 1 4 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w0_op4 R 1 4 0 1 -3/2 -5/2 -3 1/2 -13/8 -23/8 -2 5/8 -7/4 -13/4 -1 3/4 -15/8 -29/8 0 7/8 -2 -4 1 1
d1_r1_s1_w0_op5 B 1 2 2 0 1 5 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w0_op5 R 2 4 1/4 7/16 -15/8 -29/8 0 7/8 -237/128 -455/128 -3/16 109/128 -117/64 -223/64 -3/8 53/64 -231/128 -437/128 -9/16 103/128 -57/32 -107/32 -3/4 25/32 4 7/16 3/4 -57/32 -107/32 -3/4 25/32 -223/128 -413/128 -17/16 95/128 -109/64 -199/64 -11/8 45/64 -213/128 -383/128 -27/16 85/128 -13/8 -23/8 -2 5/8
d1_r1_s1_w1_op0 B 1 2 2 0.125 0.875 0 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w1_op0 R 1 1 1/8 7/8 -25/16 -43/16 -5/2 9/16 -31/16 -61/16 1/2 15/16
d1_r1_s1_w1_op1 B 1 2 2 0.125 0.875 1 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w1_op1 R 1 1 5/16 11/16 -53/32 -95/32 -7/4 21/32 -59/32 -113/32 -1/4 27/32
d1_r1_s1_w1_op2 B 1 2 2 0.125 0.875 2 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w1_op2 R 2 1 1/8 13/32 -25/16 -43/16 -5/2 9/16 -109/64 -199/64 -11/8 45/64 1 13/32 7/8 -109/64 -199/64 -11/8 45/64 -31/16 -61/16 1/2 15/16
d1_r1_s1_w1_op3 B 1 2 2 0.125 0.875 3 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w1_op3 R 1 1 1/8 7/8 -31/16 -61/16 1/2 15/16 -25/16 -43/16 -5/2 9/16
d1_r1_s1_w1_op4 B 1 2 2 0.125 0.875 4 4 -3 -5 -6 0.5 -2 -4 1 1 0 2 1 2 | d1_r1_s1_w1_op4 R 1 4 1/8 7/8 -25/16 -43/16 -5/2 9/16 -53/32 -95/32 -7/4 21/32 -7/4 -13/4 -1 3/4 -59/32 -113/32 -1/4 27/32 -31/16 -61/16 1/2 15/16
