# valid case	v|u|f index (vertex, fin arena index, face)	certain lower value of its gap
plate_round_hole	f 0	1.8369701987210297e-16
plate_round_hole	f 1	1.8369701987210297e-16
plate_round_hole	f 2	0.0
plate_round_hole	f 3	0.0
plate_round_hole	f 4	0.0
plate_round_hole	f 5	0.0
plate_round_hole	f 6	0.0
plate_round_hole	u 0	0.0
plate_round_hole	u 1	0.0
plate_round_hole	u 2	0.0
plate_round_hole	u 3	0.0
plate_round_hole	u 4	0.0
plate_round_hole	u 5	0.0
plate_round_hole	u 6	0.0
plate_round_hole	u 7	0.0
plate_round_hole	u 8	0.0
plate_round_hole	u 9	0.0
plate_round_hole	u 10	0.0
plate_round_hole	u 11	0.0
plate_round_hole	u 12	0.0
plate_round_hole	u 13	0.0
plate_round_hole	u 14	0.0
plate_round_hole	u 15	0.0
plate_round_hole	u 16	0.0
plate_round_hole	u 17	0.0
plate_round_hole	u 18	0.0
plate_round_hole	u 19	0.0
plate_round_hole	u 20	0.0
plate_round_hole	u 21	0.0
plate_round_hole	u 22	0.0
plate_round_hole	u 23	0.0
plate_round_hole	u 24	0.0
plate_round_hole	u 25	0.0
plate_round_hole	u 26	0.0
plate_round_hole	u 27	0.0
plate_round_hole	v 0	0.0
plate_round_hole	v 1	0.0
plate_round_hole	v 2	0.0
plate_round_hole	v 3	0.0
plate_round_hole	v 4	0.0
plate_round_hole	v 5	0.0
plate_round_hole	v 6	0.0
plate_round_hole	v 7	0.0
plate_two_holes	f 0	1.224646799147353e-16
plate_two_holes	f 1	1.224646799147353e-16
plate_two_holes	f 2	0.0
plate_two_holes	f 3	0.0
plate_two_holes	f 4	0.0
plate_two_holes	f 5	0.0
plate_two_holes	f 6	0.0
plate_two_holes	f 7	0.0
plate_two_holes	f 8	0.0
plate_two_holes	f 9	0.0
plate_two_holes	f 10	0.0
plate_two_holes	f 11	0.0
plate_two_holes	f 12	0.0
plate_two_holes	u 0	0.0
plate_two_holes	u 1	0.0
plate_two_holes	u 2	0.0
plate_two_holes	u 3	0.0
plate_two_holes	u 4	0.0
plate_two_holes	u 5	0.0
plate_two_holes	u 6	0.0
plate_two_holes	u 7	0.0
plate_two_holes	u 8	0.0
plate_two_holes	u 9	0.0
plate_two_holes	u 10	0.0
plate_two_holes	u 11	0.0
plate_two_holes	u 12	0.0
plate_two_holes	u 13	0.0
plate_two_holes	u 14	0.0
plate_two_holes	u 15	0.0
plate_two_holes	u 16	0.0
plate_two_holes	u 17	0.0
plate_two_holes	u 18	0.0
plate_two_holes	u 19	0.0
plate_two_holes	u 20	0.0
plate_two_holes	u 21	0.0
plate_two_holes	u 22	0.0
plate_two_holes	u 23	0.0
plate_two_holes	u 24	0.0
plate_two_holes	u 25	0.0
plate_two_holes	u 26	0.0
plate_two_holes	u 27	0.0
plate_two_holes	u 28	0.0
plate_two_holes	u 29	0.0
plate_two_holes	u 30	0.0
plate_two_holes	u 31	0.0
plate_two_holes	u 32	0.0
plate_two_holes	u 33	0.0
plate_two_holes	u 34	0.0
plate_two_holes	u 35	0.0
plate_two_holes	u 36	0.0
plate_two_holes	u 37	0.0
plate_two_holes	u 38	0.0
plate_two_holes	u 39	0.0
plate_two_holes	u 40	3.0814879110195774e-32
plate_two_holes	u 41	3.0814879110195774e-32
plate_two_holes	u 42	3.0814879110195774e-32
plate_two_holes	u 43	0.0
plate_two_holes	u 44	6.027042397202122e-17
plate_two_holes	u 45	6.027042397202122e-17
plate_two_holes	u 46	6.027042397202122e-17
plate_two_holes	u 47	0.0
plate_two_holes	u 48	1.2505794898414597e-17
plate_two_holes	u 49	1.2505794898414597e-17
plate_two_holes	u 50	1.2505794898414597e-17
plate_two_holes	u 51	0.0
plate_two_holes	u 52	1.2365331781684375e-31
plate_two_holes	u 53	1.2365331781684375e-31
plate_two_holes	u 54	1.2365331781684375e-31
plate_two_holes	u 55	0.0
plate_two_holes	u 56	6.027042397202122e-17
plate_two_holes	u 57	6.027042397202122e-17
plate_two_holes	u 58	6.027042397202122e-17
plate_two_holes	u 59	0.0
plate_two_holes	u 60	2.6264810164045213e-17
plate_two_holes	u 61	2.6264810164045213e-17
plate_two_holes	u 62	2.6264810164045213e-17
plate_two_holes	u 63	0.0
plate_two_holes	v 0	0.0
plate_two_holes	v 1	0.0
plate_two_holes	v 2	0.0
plate_two_holes	v 3	0.0
plate_two_holes	v 4	0.0
plate_two_holes	v 5	0.0
plate_two_holes	v 6	0.0
plate_two_holes	v 7	0.0
plate_two_holes	v 8	0.0
plate_two_holes	v 9	0.0
plate_two_holes	v 10	0.0
plate_two_holes	v 11	0.0
plate_two_holes	v 12	0.0
plate_two_holes	v 13	0.0
plate_two_holes	v 14	0.0
plate_two_holes	v 15	0.0
plate_two_holes	v 16	0.0
plate_two_holes	v 17	0.0
plate_two_holes	v 18	0.0
plate_two_holes	v 19	0.0
tube	f 0	4.898587196589412e-16
tube	f 1	4.898587196589412e-16
tube	f 2	0.0
tube	f 3	0.0
tube	u 0	0.0
tube	u 1	0.0
tube	u 2	0.0
tube	u 3	0.0
tube	u 4	0.0
tube	u 5	0.0
tube	u 6	0.0
tube	u 7	0.0
triangle	f 0	0.0
triangle	f 1	0.0
triangle	f 2	0.0
triangle	f 3	0.0
triangle	f 4	0.0
triangle	u 0	0.0
triangle	u 1	0.0
triangle	u 2	0.0
triangle	u 3	0.0
triangle	u 4	0.0
triangle	u 5	0.0
triangle	u 6	7.697929394126402e-17
triangle	u 7	7.697929394126402e-17
triangle	u 8	7.697929394126402e-17
triangle	u 9	0.0
triangle	u 10	1.1102230246251552e-16
triangle	u 11	1.1102230246251552e-16
triangle	u 12	1.1102230246251552e-16
triangle	u 13	0.0
triangle	u 14	9.591605733100332e-17
triangle	u 15	9.591605733100332e-17
triangle	u 16	9.591605733100332e-17
triangle	u 17	0.0
triangle	v 0	0.0
triangle	v 1	0.0
triangle	v 2	0.0
triangle	v 3	0.0
triangle	v 4	0.0
triangle	v 5	0.0
hexagon	f 0	0.0
hexagon	f 1	0.0
hexagon	f 2	0.0
hexagon	f 3	0.0
hexagon	f 4	0.0
hexagon	f 5	0.0
hexagon	f 6	0.0
hexagon	f 7	0.0
hexagon	u 0	0.0
hexagon	u 1	0.0
hexagon	u 2	0.0
hexagon	u 3	0.0
hexagon	u 4	0.0
hexagon	u 5	0.0
hexagon	u 6	0.0
hexagon	u 7	0.0
hexagon	u 8	0.0
hexagon	u 9	0.0
hexagon	u 10	0.0
hexagon	u 11	0.0
hexagon	u 12	8.690637865201172e-17
hexagon	u 13	8.690637865201172e-17
hexagon	u 14	8.690637865201172e-17
hexagon	u 15	0.0
hexagon	u 16	1.232595164407831e-32
hexagon	u 17	1.232595164407831e-32
hexagon	u 18	1.232595164407831e-32
hexagon	u 19	0.0
hexagon	u 20	1.3513822627301961e-16
hexagon	u 21	1.3513822627301961e-16
hexagon	u 22	1.3513822627301961e-16
hexagon	u 23	0.0
hexagon	u 24	7.251351397252844e-17
hexagon	u 25	7.251351397252844e-17
hexagon	u 26	7.251351397252844e-17
hexagon	u 27	0.0
hexagon	u 28	4.930380657631324e-32
hexagon	u 29	4.930380657631324e-32
hexagon	u 30	4.930380657631324e-32
hexagon	u 31	0.0
hexagon	u 32	8.690637865201172e-17
hexagon	u 33	8.690637865201172e-17
hexagon	u 34	8.690637865201172e-17
hexagon	u 35	0.0
hexagon	v 0	0.0
hexagon	v 1	0.0
hexagon	v 2	0.0
hexagon	v 3	0.0
hexagon	v 4	0.0
hexagon	v 5	0.0
hexagon	v 6	0.0
hexagon	v 7	0.0
hexagon	v 8	0.0
hexagon	v 9	0.0
hexagon	v 10	0.0
hexagon	v 11	0.0
stadium	f 0	1.8369701987210297e-16
stadium	f 1	1.8369701987210297e-16
stadium	f 2	0.0
stadium	f 3	0.0
stadium	f 4	0.0
stadium	f 5	0.0
stadium	u 0	0.0
stadium	u 1	0.0
stadium	u 2	0.0
stadium	u 3	0.0
stadium	u 4	0.0
stadium	u 5	0.0
stadium	u 6	0.0
stadium	u 7	0.0
stadium	u 8	0.0
stadium	u 9	0.0
stadium	u 10	0.0
stadium	u 11	0.0
stadium	u 12	0.0
stadium	u 13	6.123233995736765e-17
stadium	u 14	0.0
stadium	u 15	6.123233995736765e-17
stadium	u 16	0.0
stadium	u 17	0.0
stadium	u 18	0.0
stadium	u 19	0.0
stadium	u 20	0.0
stadium	u 21	1.8369701987210297e-16
stadium	u 22	0.0
stadium	u 23	6.123233995736765e-17
stadium	v 0	1.8369701987210297e-16
stadium	v 1	6.123233995736765e-17
stadium	v 2	6.123233995736765e-17
stadium	v 3	6.123233995736765e-17
stadium	v 4	1.8369701987210297e-16
stadium	v 5	6.123233995736765e-17
stadium	v 6	6.123233995736765e-17
stadium	v 7	6.123233995736765e-17
concave_notch	f 0	9.184850993605148e-17
concave_notch	f 1	9.184850993605148e-17
concave_notch	f 2	0.0
concave_notch	f 3	0.0
concave_notch	f 4	0.0
concave_notch	f 5	0.0
concave_notch	f 6	0.0
concave_notch	f 7	0.0
concave_notch	u 0	0.0
concave_notch	u 1	0.0
concave_notch	u 2	0.0
concave_notch	u 3	0.0
concave_notch	u 4	0.0
concave_notch	u 5	0.0
concave_notch	u 6	0.0
concave_notch	u 7	0.0
concave_notch	u 8	0.0
concave_notch	u 9	0.0
concave_notch	u 10	0.0
concave_notch	u 11	0.0
concave_notch	u 12	0.0
concave_notch	u 13	0.0
concave_notch	u 14	0.0
concave_notch	u 15	0.0
concave_notch	u 16	0.0
concave_notch	u 17	0.0
concave_notch	u 18	0.0
concave_notch	u 19	0.0
concave_notch	u 20	0.0
concave_notch	u 21	0.0
concave_notch	u 22	0.0
concave_notch	u 23	0.0
concave_notch	u 24	0.0
concave_notch	u 25	9.184850993605148e-17
concave_notch	u 26	0.0
concave_notch	u 27	0.0
concave_notch	u 28	0.0
concave_notch	u 29	0.0
concave_notch	u 30	0.0
concave_notch	u 31	0.0
concave_notch	u 32	0.0
concave_notch	u 33	0.0
concave_notch	u 34	0.0
concave_notch	u 35	0.0
concave_notch	v 0	0.0
concave_notch	v 1	0.0
concave_notch	v 2	0.0
concave_notch	v 3	0.0
concave_notch	v 4	9.184850993605148e-17
concave_notch	v 5	0.0
concave_notch	v 6	0.0
concave_notch	v 7	0.0
concave_notch	v 8	0.0
concave_notch	v 9	0.0
concave_notch	v 10	9.184850993605148e-17
concave_notch	v 11	0.0
half_disc	f 0	1.224646799147353e-16
half_disc	f 1	1.224646799147353e-16
half_disc	f 2	0.0
half_disc	f 3	0.0
half_disc	u 0	0.0
half_disc	u 1	0.0
half_disc	u 2	0.0
half_disc	u 3	0.0
half_disc	u 4	0.0
half_disc	u 5	0.0
half_disc	u 6	0.0
half_disc	u 7	0.0
half_disc	u 8	0.0
half_disc	u 9	1.224646799147353e-16
half_disc	u 10	0.0
half_disc	u 11	0.0
half_disc	v 0	1.224646799147353e-16
half_disc	v 1	0.0
half_disc	v 2	1.224646799147353e-16
half_disc	v 3	0.0
box_cavity	f 0	0.0
box_cavity	f 1	0.0
box_cavity	f 2	0.0
box_cavity	f 3	0.0
box_cavity	f 4	0.0
box_cavity	f 5	0.0
box_cavity	f 6	0.0
box_cavity	f 7	0.0
box_cavity	f 8	0.0
box_cavity	f 9	0.0
box_cavity	f 10	0.0
box_cavity	f 11	0.0
box_cavity	u 0	0.0
box_cavity	u 1	0.0
box_cavity	u 2	0.0
box_cavity	u 3	0.0
box_cavity	u 4	0.0
box_cavity	u 5	0.0
box_cavity	u 6	0.0
box_cavity	u 7	0.0
box_cavity	u 8	0.0
box_cavity	u 9	0.0
box_cavity	u 10	0.0
box_cavity	u 11	0.0
box_cavity	u 12	0.0
box_cavity	u 13	0.0
box_cavity	u 14	0.0
box_cavity	u 15	0.0
box_cavity	u 16	0.0
box_cavity	u 17	0.0
box_cavity	u 18	0.0
box_cavity	u 19	0.0
box_cavity	u 20	0.0
box_cavity	u 21	0.0
box_cavity	u 22	0.0
box_cavity	u 23	0.0
box_cavity	u 24	0.0
box_cavity	u 25	0.0
box_cavity	u 26	0.0
box_cavity	u 27	0.0
box_cavity	u 28	0.0
box_cavity	u 29	0.0
box_cavity	u 30	0.0
box_cavity	u 31	0.0
box_cavity	u 32	0.0
box_cavity	u 33	0.0
box_cavity	u 34	0.0
box_cavity	u 35	0.0
box_cavity	u 36	0.0
box_cavity	u 37	0.0
box_cavity	u 38	0.0
box_cavity	u 39	0.0
box_cavity	u 40	0.0
box_cavity	u 41	0.0
box_cavity	u 42	0.0
box_cavity	u 43	0.0
box_cavity	u 44	0.0
box_cavity	u 45	0.0
box_cavity	u 46	0.0
box_cavity	u 47	0.0
box_cavity	v 0	0.0
box_cavity	v 1	0.0
box_cavity	v 2	0.0
box_cavity	v 3	0.0
box_cavity	v 4	0.0
box_cavity	v 5	0.0
box_cavity	v 6	0.0
box_cavity	v 7	0.0
box_cavity	v 8	0.0
box_cavity	v 9	0.0
box_cavity	v 10	0.0
box_cavity	v 11	0.0
box_cavity	v 12	0.0
box_cavity	v 13	0.0
box_cavity	v 14	0.0
box_cavity	v 15	0.0
box_two_cavities	f 0	0.0
box_two_cavities	f 1	0.0
box_two_cavities	f 2	0.0
box_two_cavities	f 3	0.0
box_two_cavities	f 4	0.0
box_two_cavities	f 5	0.0
box_two_cavities	f 6	0.0
box_two_cavities	f 7	0.0
box_two_cavities	f 8	0.0
box_two_cavities	f 9	0.0
box_two_cavities	f 10	0.0
box_two_cavities	f 11	0.0
box_two_cavities	f 12	1.959434878635765e-16
box_two_cavities	f 13	1.959434878635765e-16
box_two_cavities	f 14	0.0
box_two_cavities	u 0	0.0
box_two_cavities	u 1	0.0
box_two_cavities	u 2	0.0
box_two_cavities	u 3	0.0
box_two_cavities	u 4	0.0
box_two_cavities	u 5	0.0
box_two_cavities	u 6	0.0
box_two_cavities	u 7	0.0
box_two_cavities	u 8	0.0
box_two_cavities	u 9	0.0
box_two_cavities	u 10	0.0
box_two_cavities	u 11	0.0
box_two_cavities	u 12	0.0
box_two_cavities	u 13	0.0
box_two_cavities	u 14	0.0
box_two_cavities	u 15	0.0
box_two_cavities	u 16	0.0
box_two_cavities	u 17	0.0
box_two_cavities	u 18	0.0
box_two_cavities	u 19	0.0
box_two_cavities	u 20	0.0
box_two_cavities	u 21	0.0
box_two_cavities	u 22	0.0
box_two_cavities	u 23	0.0
box_two_cavities	u 24	0.0
box_two_cavities	u 25	0.0
box_two_cavities	u 26	0.0
box_two_cavities	u 27	0.0
box_two_cavities	u 28	0.0
box_two_cavities	u 29	0.0
box_two_cavities	u 30	0.0
box_two_cavities	u 31	0.0
box_two_cavities	u 32	0.0
box_two_cavities	u 33	0.0
box_two_cavities	u 34	0.0
box_two_cavities	u 35	0.0
box_two_cavities	u 36	0.0
box_two_cavities	u 37	0.0
box_two_cavities	u 38	0.0
box_two_cavities	u 39	0.0
box_two_cavities	u 40	0.0
box_two_cavities	u 41	0.0
box_two_cavities	u 42	0.0
box_two_cavities	u 43	0.0
box_two_cavities	u 44	0.0
box_two_cavities	u 45	0.0
box_two_cavities	u 46	0.0
box_two_cavities	u 47	0.0
box_two_cavities	u 48	0.0
box_two_cavities	u 49	0.0
box_two_cavities	u 50	0.0
box_two_cavities	u 51	0.0
box_two_cavities	v 0	0.0
box_two_cavities	v 1	0.0
box_two_cavities	v 2	0.0
box_two_cavities	v 3	0.0
box_two_cavities	v 4	0.0
box_two_cavities	v 5	0.0
box_two_cavities	v 6	0.0
box_two_cavities	v 7	0.0
box_two_cavities	v 8	0.0
box_two_cavities	v 9	0.0
box_two_cavities	v 10	0.0
box_two_cavities	v 11	0.0
box_two_cavities	v 12	0.0
box_two_cavities	v 13	0.0
box_two_cavities	v 14	0.0
box_two_cavities	v 15	0.0
cylinder_box_cavity	f 0	7.347880794884119e-16
cylinder_box_cavity	f 1	7.347880794884119e-16
cylinder_box_cavity	f 2	0.0
cylinder_box_cavity	f 3	0.0
cylinder_box_cavity	f 4	0.0
cylinder_box_cavity	f 5	0.0
cylinder_box_cavity	f 6	0.0
cylinder_box_cavity	f 7	0.0
cylinder_box_cavity	f 8	0.0
cylinder_box_cavity	u 0	0.0
cylinder_box_cavity	u 1	0.0
cylinder_box_cavity	u 2	0.0
cylinder_box_cavity	u 3	0.0
cylinder_box_cavity	u 4	0.0
cylinder_box_cavity	u 5	0.0
cylinder_box_cavity	u 6	0.0
cylinder_box_cavity	u 7	0.0
cylinder_box_cavity	u 8	0.0
cylinder_box_cavity	u 9	0.0
cylinder_box_cavity	u 10	0.0
cylinder_box_cavity	u 11	0.0
cylinder_box_cavity	u 12	0.0
cylinder_box_cavity	u 13	0.0
cylinder_box_cavity	u 14	0.0
cylinder_box_cavity	u 15	0.0
cylinder_box_cavity	u 16	0.0
cylinder_box_cavity	u 17	0.0
cylinder_box_cavity	u 18	0.0
cylinder_box_cavity	u 19	0.0
cylinder_box_cavity	u 20	0.0
cylinder_box_cavity	u 21	0.0
cylinder_box_cavity	u 22	0.0
cylinder_box_cavity	u 23	0.0
cylinder_box_cavity	u 24	0.0
cylinder_box_cavity	u 25	0.0
cylinder_box_cavity	u 26	0.0
cylinder_box_cavity	u 27	0.0
cylinder_box_cavity	v 0	0.0
cylinder_box_cavity	v 1	0.0
cylinder_box_cavity	v 2	0.0
cylinder_box_cavity	v 3	0.0
cylinder_box_cavity	v 4	0.0
cylinder_box_cavity	v 5	0.0
cylinder_box_cavity	v 6	0.0
cylinder_box_cavity	v 7	0.0
box_rotated	f 0	0.0
box_rotated	f 1	0.0
box_rotated	f 2	0.0
box_rotated	f 3	0.0
box_rotated	f 4	0.0
box_rotated	f 5	0.0
box_rotated	u 0	8.016781476676313e-16
box_rotated	u 1	8.016781476676313e-16
box_rotated	u 2	7.826552509046353e-16
box_rotated	u 3	7.826552509046353e-16
box_rotated	u 4	1.12149677937456e-15
box_rotated	u 5	1.12149677937456e-15
box_rotated	u 6	1.0346916120709454e-15
box_rotated	u 7	1.0346916120709454e-15
box_rotated	u 8	8.100815897997023e-16
box_rotated	u 9	8.100815897997023e-16
box_rotated	u 10	7.060773462746814e-16
box_rotated	u 11	7.060773462746814e-16
box_rotated	u 12	8.159392704028192e-16
box_rotated	u 13	8.159392704028192e-16
box_rotated	u 14	1.2198927338011747e-15
box_rotated	u 15	1.2198927338011747e-15
box_rotated	u 16	8.867783637402359e-16
box_rotated	u 17	8.867783637402359e-16
box_rotated	u 18	5.717946482264537e-16
box_rotated	u 19	5.717946482264537e-16
box_rotated	u 20	7.941456157671286e-16
box_rotated	u 21	1.3497336698578109e-15
box_rotated	u 22	1.3497336698578109e-15
box_rotated	u 23	7.414738519793112e-16
box_rotated	v 0	0.0
box_rotated	v 1	0.0
box_rotated	v 2	0.0
box_rotated	v 3	0.0
box_rotated	v 4	0.0
box_rotated	v 5	0.0
box_rotated	v 6	0.0
box_rotated	v 7	0.0
cylinder_rotated	f 0	3.6739403974420594e-16
cylinder_rotated	f 1	3.6739403974420594e-16
cylinder_rotated	f 2	0.0
cylinder_rotated	u 0	0.0
cylinder_rotated	u 1	0.0
cylinder_rotated	u 2	9.521475652720262e-17
cylinder_rotated	u 3	0.0
stadium_rotated	f 0	1.8369701987210297e-16
stadium_rotated	f 1	1.8369701987210297e-16
stadium_rotated	f 2	0.0
stadium_rotated	f 3	0.0
stadium_rotated	f 4	0.0
stadium_rotated	f 5	0.0
stadium_rotated	u 0	0.0
stadium_rotated	u 1	4.688064907384403e-16
stadium_rotated	u 2	2.402450241767452e-16
stadium_rotated	u 3	4.026235339527668e-16
stadium_rotated	u 4	6.037302890772701e-16
stadium_rotated	u 5	7.38149237693487e-16
stadium_rotated	u 6	4.026235339527668e-16
stadium_rotated	u 7	0.0
stadium_rotated	u 8	5.301885509871287e-16
stadium_rotated	u 9	6.037302890772701e-16
stadium_rotated	u 10	6.037302890772701e-16
stadium_rotated	u 11	2.2763754317339576e-16
stadium_rotated	u 12	0.0
stadium_rotated	u 13	6.740194704910262e-16
stadium_rotated	u 14	5.87339130687885e-16
stadium_rotated	u 15	4.816304680479614e-16
stadium_rotated	u 16	4.20650249370796e-16
stadium_rotated	u 17	5.521129349754524e-16
stadium_rotated	u 18	6.942847763336932e-16
stadium_rotated	u 19	6.942847763336932e-16
stadium_rotated	u 20	0.0
stadium_rotated	u 21	4.143026562284977e-16
stadium_rotated	u 22	3.78543865507575e-16
stadium_rotated	u 23	3.9722441784768233e-16
stadium_rotated	v 0	4.143026562284977e-16
stadium_rotated	v 1	3.3101837699809366e-16
stadium_rotated	v 2	6.740194704910262e-16
stadium_rotated	v 3	3.9722441784768233e-16
stadium_rotated	v 4	4.731900679941013e-17
stadium_rotated	v 5	4.880097419937971e-16
stadium_rotated	v 6	5.746115219714211e-16
stadium_rotated	v 7	3.9722441784768233e-16
box_cavity_far	f 0	0.0
box_cavity_far	f 1	0.0
box_cavity_far	f 2	0.0
box_cavity_far	f 3	0.0
box_cavity_far	f 4	0.0
box_cavity_far	f 5	0.0
box_cavity_far	f 6	0.0
box_cavity_far	f 7	0.0
box_cavity_far	f 8	0.0
box_cavity_far	f 9	0.0
box_cavity_far	f 10	0.0
box_cavity_far	f 11	0.0
box_cavity_far	u 0	7.675823171444691e-13
box_cavity_far	u 1	9.129302220380633e-13
box_cavity_far	u 2	1.2187511319166614e-12
box_cavity_far	u 3	1.2187511319166614e-12
box_cavity_far	u 4	1.4532543500590463e-12
box_cavity_far	u 5	1.4532543500590463e-12
box_cavity_far	u 6	1.7701268107858748e-12
box_cavity_far	u 7	1.7701268107858748e-12
box_cavity_far	u 8	1.218859385745138e-12
box_cavity_far	u 9	1.218859385745138e-12
box_cavity_far	u 10	9.128451369543408e-13
box_cavity_far	u 11	9.128451369543408e-13
box_cavity_far	u 12	1.7701041930346543e-12
box_cavity_far	u 13	1.7701041930346543e-12
box_cavity_far	u 14	1.2187881231701279e-12
box_cavity_far	u 15	9.85709123046689e-13
box_cavity_far	u 16	1.4533071482252363e-12
box_cavity_far	u 17	1.4533071482252363e-12
box_cavity_far	u 18	1.226597602808447e-12
box_cavity_far	u 19	9.128451369543408e-13
box_cavity_far	u 20	7.675692599356281e-13
box_cavity_far	u 21	8.56255337456638e-13
box_cavity_far	u 22	9.85709123046689e-13
box_cavity_far	u 23	9.85709123046689e-13
box_cavity_far	u 24	1.7917648527790058e-12
box_cavity_far	u 25	1.8896721001224013e-12
box_cavity_far	u 26	2.1768571194334594e-12
box_cavity_far	u 27	2.1768571194334594e-12
box_cavity_far	u 28	2.1768571194334594e-12
box_cavity_far	u 29	2.1768571194334594e-12
box_cavity_far	u 30	1.8417723297981624e-12
box_cavity_far	u 31	1.9241352825704777e-12
box_cavity_far	u 32	6.094118766778429e-13
box_cavity_far	u 33	6.094118766778429e-13
box_cavity_far	u 34	6.09429692872569e-13
box_cavity_far	u 35	6.09429692872569e-13
box_cavity_far	u 36	7.266489582110744e-13
box_cavity_far	u 37	7.266489582110744e-13
box_cavity_far	u 38	6.093940615850639e-13
box_cavity_far	u 39	6.093755659583307e-13
box_cavity_far	u 40	6.094118766778429e-13
box_cavity_far	u 41	1.0555319414961679e-12
box_cavity_far	u 42	1.0555319414961679e-12
box_cavity_far	u 43	1.0036770601252686e-12
box_cavity_far	u 44	7.266489582110744e-13
box_cavity_far	u 45	7.266489582110744e-13
box_cavity_far	u 46	6.395556267696028e-13
box_cavity_far	u 47	5.803731646867744e-13
box_cavity_far	v 0	0.0
box_cavity_far	v 1	0.0
box_cavity_far	v 2	0.0
box_cavity_far	v 3	0.0
box_cavity_far	v 4	0.0
box_cavity_far	v 5	0.0
box_cavity_far	v 6	0.0
box_cavity_far	v 7	0.0
box_cavity_far	v 8	0.0
box_cavity_far	v 9	0.0
box_cavity_far	v 10	0.0
box_cavity_far	v 11	0.0
box_cavity_far	v 12	0.0
box_cavity_far	v 13	0.0
box_cavity_far	v 14	0.0
box_cavity_far	v 15	0.0
box_small	f 0	0.0
box_small	f 1	0.0
box_small	f 2	0.0
box_small	f 3	0.0
box_small	f 4	0.0
box_small	f 5	0.0
box_small	u 0	0.0
box_small	u 1	0.0
box_small	u 2	0.0
box_small	u 3	0.0
box_small	u 4	0.0
box_small	u 5	0.0
box_small	u 6	0.0
box_small	u 7	0.0
box_small	u 8	0.0
box_small	u 9	0.0
box_small	u 10	0.0
box_small	u 11	0.0
box_small	u 12	0.0
