# case	kind	values
nearly_cylinder	face	plane 3.141592653589793 0.0 0.0 0.0
nearly_cylinder	face	plane 3.147731572797562 0.0 0.0 4.0
nearly_cylinder	edge	regular closed 6.283185307179586 -1.0 0.0 0.0
nearly_cylinder	edge	regular closed 6.289321230331129 -1.0009765625 0.0 4.0
nearly_cylinder	edge	regular open 4.000000119209288 1.00048828125 0.0 2.0
nearly_cylinder	vertex	1.0 0.0 0.0
nearly_cylinder	vertex	1.0009765625 0.0 4.0
flat	counts	2 3 3 3 1 1
flat	props	7.984881327874058 157.2996697247589 0.0 0.0 0.057889344262295084 41.26329985803289 0.0 0.0 41.26329985803289 0.0 82.50607706490194
flat	face	cone 28.494370927577375 0.0 0.0 0.06018518518518518
flat	face	plane 50.26548245743669 0.0 0.0 0.125
flat	face	plane 78.53981633974483 0.0 0.0 0.0
flat	edge	regular closed 25.132741228718345 -4.0 0.0 0.125
flat	edge	regular closed 31.41592653589793 -5.0 0.0 0.0
flat	edge	regular open 1.0077822185373186 4.5 0.0 0.0625
flat	vertex	4.0 0.0 0.125
flat	vertex	5.0 0.0 0.0
needle	counts	2 3 2 2 1 1
needle	props	0.03272492347489368 1.5831161092661665 0.0 0.0 2.0 0.0785589910995934 0.0 0.0 0.0785589910995934 0.0 3.834951969714103e-05
needle	face	cone 1.5708442629630812 0.0 0.0 2.6666666666666665
needle	face	plane 0.01227184630308513 0.0 0.0 0.0
needle	edge	degenerated closed 0.0 0.0 0.0 8.0
needle	edge	regular closed 0.39269908169872414 -0.0625 0.0 0.0
needle	edge	regular open 8.000244136899823 0.03125 0.0 4.0
needle	vertex	0.0 0.0 8.0
needle	vertex	0.0625 0.0 0.0
millimetre	counts	2 3 3 3 1 1
millimetre	props	2.1991148575128554e-08 4.551172806533727e-05 0.0 0.0 0.0011785714285714286 2.9300961481606237e-14 0.0 0.0 2.9300961481606237e-14 0.0 2.921681167838508e-14
millimetre	face	cone 2.9803764797388305e-05 0.0 0.0 0.0013333333333333333
millimetre	face	plane 3.1415926535897933e-06 0.0 0.0 0.003
millimetre	face	plane 1.2566370614359173e-05 0.0 0.0 0.0
millimetre	edge	regular closed 0.006283185307179587 -0.001 0.0 0.003
millimetre	edge	regular closed 0.012566370614359173 -0.002 0.0 0.0
millimetre	edge	regular open 0.0031622776601683794 0.0015 0.0 0.0015
millimetre	vertex	0.001 0.0 0.003
millimetre	vertex	0.002 0.0 0.0
large	counts	2 3 3 3 1 1
large	props	228550865.54865745 2187309.998079675 0.0 0.0 322.4226804123711 18250153403099.492 0.0 0.0 18250153403099.492 0.0 11495283869025.902
large	face	cone 1613969.3387995374 0.0 0.0 381.8181818181818
large	face	plane 70685.83470577035 0.0 0.0 900.0
large	face	plane 502654.8245743669 0.0 0.0 0.0
large	edge	regular closed 942.4777960769379 -150.0 0.0 900.0
large	edge	regular closed 2513.2741228718346 -400.0 0.0 0.0
large	edge	regular open 934.0770846134702 275.0 0.0 450.0
large	vertex	150.0 0.0 900.0
large	vertex	400.0 0.0 0.0
far	counts	2 3 3 3 1 1
far	props	16.493361431346415 39.69482401915935 10000.0 -20000.0 5000.964285714285 18.740161177351258 0.0 0.0 18.740161177351258 0.0 20.08655802888974
far	face	cone 26.343055241402723 10000.0 -20000.0 5001.2
far	face	plane 0.7853981633974483 10000.0 -20000.0 5003.0
far	face	plane 12.566370614359172 10000.0 -20000.0 5000.0
far	edge	regular closed 3.141592653589793 9999.5 -20000.0 5003.0
far	edge	regular closed 12.566370614359172 9998.0 -20000.0 5000.0
far	edge	regular open 3.3541019662496847 10001.25 -20000.0 5001.5
far	vertex	10000.5 -20000.0 5003.0
far	vertex	10002.0 -20000.0 5000.0
rotated_0	counts	2 3 2 2 1 1
rotated_0	props	1.0471975511965979 7.584475591748159 -2.926488969634094 1.507375753046773 0.23883409865749042 0.20653559881365097 0.0010220214257744243 0.033094053513664214 0.19645208570021644 0.0033205025806125454 0.30387066254383605
rotated_0	face	cone 4.442882938158366 -2.901985292845459 1.5098343373956973 0.3184454648766539
rotated_0	face	plane 3.141592653589793 -3.0 1.5 0.0
rotated_0	edge	degenerated closed 0.0 -2.7059558785363764 1.529503012187092 0.9553363946299617
rotated_0	edge	regular closed 6.283185307179586 -3.9331641022963786 1.2926588034435433 0.293622864225405
rotated_0	edge	regular open 1.4142135623730951 -2.3863958881199987 1.6184221043717744 0.33085676520227836
rotated_0	vertex	-2.7059558785363764 1.529503012187092 0.9553363946299617
rotated_0	vertex	-2.0668358977036214 1.7073411965564567 -0.293622864225405
rotated_1	counts	2 3 2 2 1 1
rotated_1	props	2.454369260617026 12.576433210149805 -1.708116726545633 1.6522495139054296 0.815464488432274 0.9647401233743408 0.09265797717384767 0.15904815443369638 0.8293972728497765 0.08079100159475308 0.9210085983334677
rotated_1	face	cone 7.667694688915753 -1.7961037569294516 1.6075551234714929 0.7387462119397992
rotated_1	face	plane 4.908738521234052 -1.4441556353941774 1.7863326852072394 1.0456193179096986
rotated_1	edge	degenerated closed 0.0 -2.5 1.25 0.125
rotated_1	edge	regular closed 7.853981633974483 -0.9771140577437295 0.63477497199357 1.1808487447512162
rotated_1	edge	regular open 1.9525624189766635 -2.2055986065223125 2.0939451992104545 0.5176949455340907
rotated_1	vertex	-2.5 1.25 0.125
rotated_1	vertex	-1.911197213044625 2.9378903984209086 0.9103898910681814
rotated_2	counts	2 3 3 3 1 1
rotated_2	props	10.995574287564276 32.98672286269283 -1.571470277837342 1.4780817779831026 0.28264041829020436 11.102535002630269 2.0417882525664077 0.13940046597247321 11.550259091627872 0.1555197205166003 9.282991225983817
rotated_2	face	cone 19.634954084936208 -1.4667185679753587 1.5949462126011942 0.29061918720558766
rotated_2	face	plane 0.7853981633974483 -0.6667964199383969 2.4873655315029857 0.3515479680139691
rotated_2	face	plane 12.566370614359172 -2.0 1.0 0.25
rotated_2	edge	regular closed 3.141592653589793 -0.304543528397625 2.172175632770695 0.21216299641559977
rotated_2	edge	regular closed 12.566370614359172 -0.5509884338369125 -0.26075959492916206 -0.30753988639347735
rotated_2	edge	regular open 2.5 -2.239030438821128 2.531657512582219 0.6492364130029079
rotated_2	vertex	-3.4490115661630876 2.260759594929162 0.8075398863934773
rotated_2	vertex	-1.0290493114791688 2.802555430235276 0.4909329396123384
rotated_3	counts	2 3 3 3 1 1
rotated_3	props	30.925052683774528 69.66567331599529 -0.9923488099259606 2.0954392742413814 -0.5249740699066947 56.47428161480783 7.368248396146294 -4.928674689463216 73.22238176100107 -13.06257648326622 62.431800625517
rotated_3	face	cone 39.62419356604289 -1.0511294740397967 1.9396515688029057 -0.42076654602276164
rotated_3	face	plane 1.7671458676442586 -1.5 0.75 0.375
rotated_3	face	plane 28.274333882308138 -0.7518824567329947 2.7327526146715093 -0.9512775767046027
rotated_3	edge	regular closed 4.71238898038469 -1.6404606208464936 0.3777340830351688 -0.2607585241723079
rotated_3	edge	regular closed 18.84955592153876 -1.3137249401189688 1.2436889468121846 -3.494311673393834
rotated_3	edge	regular open 3.3634060117684275 -0.7747896762502636 2.6720410997478328 1.3012575220784683
rotated_3	vertex	-1.3595393791535064 1.1222659169648312 1.0107585241723078
rotated_3	vertex	-0.19003997334702066 4.221816282530834 1.5917565199846289
rotated_4	counts	2 3 2 2 1 1
rotated_4	props	3.141592653589793 13.076180919385894 -1.002698499281352 0.7931509219298157 -0.19032981615552982 1.5315187930388816 0.0008284040034480874 -0.0019507766840308179 1.4415329177857392 0.21192222927564136 1.0324789225023656
rotated_4	face	cone 9.934588265796101 -1.0035979990418027 0.890867895906421 -0.4204397548740398
rotated_4	face	plane 3.141592653589793 -1.0 0.5 0.5
rotated_4	edge	degenerated closed 0.0 -1.0107939971254079 1.672603687719263 -2.261319264622119
rotated_4	edge	regular closed 6.283185307179586 -1.7179124696992736 1.1397389323094105 0.7744736496239761
rotated_4	edge	regular open 3.1622776601683795 -0.6464407637130671 0.7664323777049263 -1.0178964571230478
rotated_4	vertex	-1.0107939971254079 1.672603687719263 -2.261319264622119
rotated_4	vertex	-0.2820875303007265 -0.13973893230941045 0.22552635037602384
rotated_5	counts	2 3 2 2 1 1
rotated_5	props	5.726861608106394 19.50346738508925 -0.2989487015945991 -0.2545353077869682 -1.9431992715920257 3.9654514145012114 0.018968764163780544 0.09655531645961925 3.925408402975324 -0.24230416164829624 2.739627042570959
rotated_5	face	cone 14.594728863855199 -0.3212877347507547 -0.19847582914397172 -1.6578437969706896
rotated_5	face	plane 4.908738521234052 -0.2319316021261321 -0.4227137437159576 -2.799265695456034
rotated_5	edge	degenerated closed 0.0 -0.5 0.25 0.625
rotated_5	edge	regular closed 7.853981633974483 -1.3997677494283003 -0.8684084759755941 -2.803130755667683
rotated_5	edge	regular open 3.7165171868296265 0.217952272588018 0.13649049427183946 -1.0852003176221927
rotated_5	vertex	-0.5 0.25 0.625
rotated_5	vertex	0.935904545176036 0.02298098854367891 -2.7954006352443854
rotated_6	counts	2 3 3 3 1 1
rotated_6	props	21.991148575128552 46.903993025923164 0.6392709469231481 -0.6873064928945681 -0.12863739149591533 32.22001506400755 1.9200466223820638 2.4545450585450914 31.94154937029528 -2.6389823657090585 30.632253896514907
rotated_6	face	cone 33.552224248166546 0.795537178393251 -0.8553147467132404 -0.3434154205282502
rotated_6	face	plane 0.7853981633974483 1.9888429459831274 -2.138286866783101 -1.9835385513206254
rotated_6	face	plane 12.566370614359172 0.0 0.0 0.75
rotated_6	edge	regular closed 3.141592653589793 1.814315033013021 -2.5604559420734607 -1.7802818676352379
rotated_6	edge	regular closed 12.566370614359172 -0.6981116518804248 -1.6886763011614383 1.5630267347415507
rotated_6	edge	regular open 4.272001872658765 1.4307412554168293 -0.013720745165651539 -1.124910984873782
rotated_6	vertex	0.6981116518804248 1.6886763011614383 -0.06302673474155064
rotated_6	vertex	2.1633708589532334 -1.7161177914927415 -2.1867952350060134
rotated_7	counts	2 3 3 3 1 1
rotated_7	props	55.665094830794146 89.31335404310853 3.219655854282276 -1.5690902521539605 0.441674013786042 150.4184773832287 -3.9337040119334117 -1.2922361966221971 144.21602806648121 0.6267617161049558 142.51399246319377
rotated_7	face	cone 59.27187429315613 2.9047483343127496 -1.4163534861150808 0.4918486016634477
rotated_7	face	plane 1.7671458676442586 0.5 -0.25 0.875
rotated_7	face	plane 28.274333882308138 4.507913890521249 -2.193922476858468 0.2364143361057461
rotated_7	edge	regular closed 4.71238898038469 0.40423842209020283 -0.2035536219581609 0.13259010367383947
rotated_7	edge	regular closed 18.84955592153876 4.124867578882061 -2.0081369646911114 -2.7332252491988958
rotated_7	edge	regular open 5.031152949374527 2.743360890035117 -1.3380771835338316 2.4117319088682745
rotated_7	vertex	0.5957615779097971 -0.2964463780418391 1.6174098963261605
rotated_7	vertex	4.8909602021604375 -2.379707989025824 3.2060539214103883
rotated_8	counts	2 3 2 2 1 1
rotated_8	props	5.235987755982989 19.160634898003888 2.112097492928172 -0.5909412494217046 1.5634437464170612 2.4304017349323837 0.2668903904507696 -1.65356999639378 5.67231184848127 0.13521990871712763 4.856356112644244
rotated_8	face	cone 16.019042244414095 2.4827966572375626 -0.6212549992289395 1.7512583285560817
rotated_8	face	plane 3.141592653589793 1.0 -0.5 1.0
rotated_8	edge	degenerated closed 0.0 5.448389971712688 -0.8637649976868184 3.253774985668245
rotated_8	edge	regular closed 6.283185307179586 1.236113289536671 0.41828306430126594 0.6821844429206632
rotated_8	edge	regular open 5.0990195135927845 3.1061383410880086 -1.1410240309940423 2.285795271373791
rotated_8	vertex	0.7638867104633289 -1.4182830643012658 1.3178155570793368
rotated_8	vertex	5.448389971712688 -0.8637649976868184 3.253774985668245
rotated_9	counts	2 3 2 2 1 1
rotated_9	props	8.999353955595762 27.05797630473546 3.3722556653155302 -0.19453967761436206 4.7584209161545195 10.649327180968925 -0.4950215804957947 -3.2380742458730727 12.171002853352478 -0.9606710225754171 6.033848585807509
rotated_9	face	cone 22.149237783501405 3.164227258058249 -0.25625749121276625 4.354707481026239
rotated_9	face	plane 4.908738521234052 3.996340887087374 -0.009386236819149414 5.969561221539359
rotated_9	edge	degenerated closed 0.0 1.5 -0.75 1.125
rotated_9	edge	regular closed 7.853981633974483 3.219995061023464 0.9364104296042954 6.225013416940856
rotated_9	edge	regular open 5.640257086339239 3.1363433565756416 -0.8525914516212971 3.4195545130689307
rotated_9	vertex	1.5 -0.75 1.125
rotated_9	vertex	4.772686713151283 -0.9551829032425943 5.714109026137861
rotated_10	counts	2 3 3 3 1 1
rotated_10	props	32.98672286269283 61.92596256556359 1.8222108113637523 -1.1375302658729332 3.165427937948861 89.24104026478817 -0.32533924743243126 4.531103607544021 89.40994652403448 3.5050718697992043 40.84535993323851
rotated_10	face	cone 48.57419378780696 1.7787512319193362 -1.1711487753085392 3.6336436561141383
rotated_10	face	plane 0.7853981633974483 1.4468780797983405 -1.4278719382713478 7.209109140285346
rotated_10	face	plane 12.566370614359172 2.0 -1.0 1.25
rotated_10	edge	regular closed 3.141592653589793 1.0467909212422537 -1.722042467214304 7.150851390071851
rotated_10	edge	regular closed 12.566370614359172 0.39965136577565263 -2.176682115771825 1.0169689991460198
rotated_10	edge	regular open 6.18465843842649 2.7236569362893874 -0.47850964677828334 4.37519894567641
rotated_10	vertex	1.8469652383544273 -1.1337014093283915 7.267366890498841
rotated_10	vertex	3.600348634224347 0.17668211577182494 1.4830310008539802
rotated_11	counts	2 3 3 3 1 1
rotated_11	props	80.40513697781377 111.07581780371034 0.987124853367595 -3.7602391897284964 4.671105051611263 298.738572349379 -17.348157181594214 22.779243012528834 280.4090462407164 37.79647557148527 259.564792166701
rotated_11	face	cone 81.03433805375795 1.162299870346084 -3.4695799151283544 4.289450782477327
rotated_11	face	plane 1.7671458676442586 2.5 -1.25 1.375
rotated_11	face	plane 28.274333882308138 0.27049978391014007 -4.949299858547257 6.232417970795545
rotated_11	edge	regular closed 4.71238898038469 2.8216790385966637 -1.8520047334003198 1.0641738474787943
rotated_11	edge	regular closed 18.84955592153876 1.5572159382967956 -7.357318792148537 4.989113360710721
rotated_11	edge	regular open 6.878408246098802 0.5810522954634103 -1.5946380957728292 4.580774366700787
rotated_11	vertex	-1.0162163704765155 -2.5412809249459785 7.475722580880368
rotated_11	vertex	2.1783209614033363 -0.6479952665996802 1.6858261525212057
